property,seed,basis,arm,realization,init,epochs,baseline,corrected,delta,probe_r2_mean,base_Frob,base_angErr,base_compMAE,base_eigMAE,base_elem,base_iso,base_magMAE,base_vecMAE,corr_Frob,corr_angErr,corr_compMAE,corr_eigMAE,corr_elem,corr_iso,corr_magMAE,corr_vecMAE
dipole,2,primary,shuffled,2,1,19,0.09219367,0.092294835,0.00010116398,-0.015990734100341797,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.5067945,0.092294835,,,,0.104570486,0.18681751
dipole,2,primary,shuffled,2,2,18,0.09219367,0.09231266,0.00011898577,-0.016817212104797363,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.5068026,0.09231266,,,,0.10463822,0.18685319
dipole,2,primary,shuffled,3,0,28,0.09219367,0.09230961,0.000115938485,-0.01641058921813965,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.506805,0.09230961,,,,0.10459805,0.18684143
dipole,2,primary,shuffled,3,1,24,0.09219367,0.09230494,0.00011126697,-0.016224265098571777,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.506802,0.09230494,,,,0.10458107,0.18683247
dipole,2,primary,shuffled,3,2,22,0.09219367,0.09232927,0.00013560057,-0.01737034320831299,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.506803,0.09232927,,,,0.10468076,0.18688168
dipole,2,primary,shuffled,4,0,19,0.09219367,0.092282355,8.868426e-05,-0.015402436256408691,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.5068035,0.092282355,,,,0.10451377,0.18678866
dipole,2,primary,shuffled,4,1,17,0.09219367,0.09227882,8.5152686e-05,-0.015226244926452637,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.506801,0.09227882,,,,0.10450029,0.18678218
dipole,2,primary,shuffled,4,2,18,0.09219367,0.09232699,0.00013332069,-0.017290592193603516,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.506794,0.09232699,,,,0.10468842,0.18687756
dipole,3,primary,null,0,0,,0.09526028,0.09526028,0.0,,,4.826242,0.09526028,,,,0.106382206,0.1933459,,,,,,,,
dipole,3,primary,tda,0,0,46,0.09526028,0.09594242,0.00068214536,-0.04172682762145996,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.8262405,0.09594242,,,,0.10855276,0.19467053
dipole,3,primary,tda,0,1,50,0.09526028,0.09591775,0.00065746903,-0.03811287879943848,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.8262405,0.09591775,,,,0.10845735,0.19459708
dipole,3,primary,tda,0,2,43,0.09526028,0.095639564,0.0003792867,-0.02568221092224121,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.826244,0.095639564,,,,0.10752581,0.19408357
dipole,3,primary,random,0,0,16,0.09526028,0.095195755,-6.452203e-05,-0.004088759422302246,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.8262386,0.095195755,,,,0.106062874,0.19322227
dipole,3,primary,random,0,1,16,0.09526028,0.09517043,-8.984655e-05,-0.0031331777572631836,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.826237,0.09517043,,,,0.105935626,0.19317938
dipole,3,primary,random,0,2,16,0.09526028,0.09514898,-0.00011129677,-0.0021048784255981445,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.8262396,0.09514898,,,,0.105800934,0.1931408
dipole,3,primary,random,1,0,17,0.09526028,0.09517056,-8.971989e-05,-0.003062725067138672,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.8262386,0.09517056,,,,0.105947934,0.1931806
dipole,3,primary,random,1,1,16,0.09526028,0.0951761,-8.417666e-05,-0.003357410430908203,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.8262424,0.0951761,,,,0.10597055,0.19318691
dipole,3,primary,random,1,2,16,0.09526028,0.09514602,-0.00011425465,-0.0019277334213256836,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.826246,0.09514602,,,,0.10578965,0.1931326
dipole,3,primary,random,2,0,17,0.09526028,0.09517037,-8.9906156e-05,-0.0030325651168823242,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.8262367,0.09517037,,,,0.105941415,0.19317903
