property,seed,basis,arm,realization,alpha,baseline,corrected,delta,probe_r2_mean,coef_mae_mean,spearman_mean,frac_small,cond_median,cond_frac_gt_1e6,sens_delta,base_Frob,base_angErr,base_compMAE,base_eigMAE,base_elem,base_iso,base_magMAE,base_vecMAE,corr_Frob,corr_angErr,corr_compMAE,corr_eigMAE,corr_elem,corr_iso,corr_magMAE,corr_vecMAE
dipole,1,secondary,tda,0,1000.0,0.09435965,0.1008816129664441,0.006521961758520212,-0.00017816984491318225,1.509469589585328,0.003302469687049893,0.007309919530721215,34509.786557388856,0.2020154922162894,,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.813886402310376,0.1008816129664441,,,,0.11656272383066885,0.20486415061911506
dipole,1,secondary,random,0,100000.0,0.09435965,0.0974995174603284,0.003139866252404505,-6.0418670070783165e-05,1.5072814948726965,-0.008592767561075682,0.007309919530721215,34509.786557388856,0.2020154922162894,,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.7300804421892115,0.0974995174603284,,,,0.11220837757059275,0.19831668832946825
dipole,1,secondary,random,1,1000000.0,0.09435965,0.09498728692817471,0.0006276357202508187,-3.389565056381253e-05,1.5066997726438096,0.0028546115142325432,0.007309919530721215,34509.786557388856,0.2020154922162894,,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.6826377429098285,0.09498728692817471,,,,0.10763708363718304,0.1931183426887747
dipole,1,secondary,random,2,1000000.0,0.09435965,0.09502935635579836,0.0006697051478744692,-4.543900806464052e-05,1.5067207971740821,-0.00436637580189288,0.007309919530721215,34509.786557388856,0.2020154922162894,,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.683089038053366,0.09502935635579836,,,,0.10773291713718784,0.19320075456937622
dipole,1,secondary,random,3,1000000.0,0.09435965,0.09499440994684713,0.0006347587389232412,-2.9408253582256332e-05,1.5067033973563524,0.001166643552898583,0.007309919530721215,34509.786557388856,0.2020154922162894,,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.683106705689049,0.09499440994684713,,,,0.10762334392773064,0.19313211036074285
dipole,1,secondary,random,4,100000.0,0.09435965,0.09754014147280635,0.0031804902648824573,-5.959496623142435e-05,1.5071502203358664,0.0017306588271109012,0.007309919530721215,34509.786557388856,0.2020154922162894,,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.730921677603071,0.09754014147280635,,,,0.11233350911516006,0.19834315617958426
dipole,1,secondary,shuffled,0,1000000.0,0.09435965,0.09488203848801906,0.0005223872800951684,-2.8753813786567644e-05,1.5066907082833356,-0.003646761486071302,0.007309919530721215,34509.786557388856,0.2020154922162894,,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.6842281732053666,0.09488203848801906,,,,0.10719486743290241,0.19292310055916598
dipole,1,secondary,shuffled,1,1000000.0,0.09435965,0.09499981402510022,0.0006401628171763263,-4.182438740770363e-05,1.5066956339003548,-0.0020614323361637164,0.007309919530721215,34509.786557388856,0.2020154922162894,,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.68835650738222,0.09499981402510022,,,,0.10735789259532655,0.19318962453893204
dipole,1,secondary,shuffled,2,1000000.0,0.09435965,0.09488147031525086,0.0005218191073269735,-3.6183579648222754e-05,1.5067282812977336,-0.004315795517662346,0.007309919530721215,34509.786557388856,0.2020154922162894,,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.67954820136888,0.09488147031525086,,,,0.10742293844456635,0.19287817136170246
dipole,1,secondary,shuffled,3,1000000.0,0.09435965,0.0949104866166402,0.0005508354087163103,-2.455068760820467e-05,1.5066718927634541,0.004976016260899086,0.007309919530721215,34509.786557388856,0.2020154922162894,,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.670158336492117,0.0949104866166402,,,,0.10820779561869748,0.1929526824407909
dipole,1,secondary,shuffled,4,10000.0,0.09435965,0.10501004796701552,0.01065039675909163,-2.2441107471626864e-05,1.5078069452632283,-0.0010626904443688126,0.007309919530721215,34509.786557388856,0.2020154922162894,,,4.6633115,0.09435965,,,,0.106728055,0.19178858,,4.904866690334878,0.10501004796701552,,,,0.12375762684252205,0.21370406333645042
